#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
1,Manchester United,18,11,4,3,34,24,10,37,
2,Leicester City,18,11,2,5,33,21,12,35,
3,Liverpool,18,9,7,2,37,21,16,34,
4,Tottenham Hotspur,18,9,6,3,33,17,16,33,
5,Manchester City,16,9,5,2,25,13,12,32,
6,Everton,17,10,2,5,28,21,7,32,
7,Chelsea,18,8,5,5,33,21,12,29,
8,Southampton,18,8,5,5,26,21,5,29,
9,West Ham United,18,8,5,5,25,21,4,29,
10,Aston Villa,15,8,2,5,29,16,13,26,
11,Arsenal,18,7,3,8,20,19,1,24,
12,Leeds United,18,7,2,9,30,34,-4,23,
13,Crystal Palace,18,6,5,7,22,29,-7,23,
14,Wolverhampton Wanderers,19,6,4,9,21,29,-8,22,
15,Newcastle United,17,5,4,8,18,27,-9,19,
16,Brighton and Hove Albion,19,3,8,8,22,29,-7,17,
17,Burnley,17,4,4,9,9,22,-13,16,
18,Fulham,17,2,6,9,14,25,-11,12,
19,West Bromwich Albion,18,2,5,11,14,41,-27,11,
20,Sheffield United,19,1,2,16,10,32,-22,5,
