#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
1,Atletico Madrid,16,13,2,1,31,6,25,41,
2,Real Madrid,18,11,4,3,30,15,15,37,
3,Barcelona,18,10,4,4,37,17,20,34,
4,Villarreal,18,8,8,2,26,17,9,32,
5,Real Sociedad,19,8,6,5,29,16,13,30,
6,Sevilla,17,9,3,5,21,15,6,30,
7,Granada,18,8,3,7,21,29,-8,27,
8,Celta Vigo,18,6,5,7,22,28,-6,23,
9,Cadiz,18,6,5,7,15,22,-7,23,
10,Real Betis,18,7,2,9,22,31,-9,23,
11,Levante,17,5,6,6,23,24,-1,21,
12,Athletic Bilbao,18,6,3,9,21,22,-1,21,
13,Getafe,17,5,5,7,15,18,-3,20,
14,Valencia,18,4,7,7,24,25,-1,19,
15,Eibar,18,4,7,7,15,18,-3,19,
16,Alaves,18,4,6,8,16,23,-7,18,
17,Real Valladolid,18,4,6,8,16,25,-9,18,
18,Elche,16,3,7,6,14,21,-7,16,
19,Osasuna,18,3,6,9,15,27,-12,15,
20,SD Huesca,18,1,9,8,14,28,-14,12,
