Rank,Name,GoalsGL,AssistsA,PlayedP,Goals per 90,Mins per GoalMPG,Total Shots,Goal Conversion,Shot Accuracy
1,Harry Kane,17,13,27,0.65,139,81,21%,47%
,,,,,,,,,
1,Mohamed Salah,17,3,28,0.65,138,65,26%,58%
,,,,,,,,,
3,Bruno Fernandes,16,10,29,0.58,154,59,27%,66%
,,,,,,,,,
4,Patrick Bamford,14,6,29,0.52,174,75,19%,51%
,,,,,,,,,
4,Dominic Calvert-Lewin,14,0,25,0.58,154,54,26%,63%
,,,,,,,,,
6,Son Heung-Min,13,9,28,0.5,181,41,32%,66%
,,,,,,,,,
7,Jamie Vardy,12,7,25,0.53,171,51,24%,59%
,,,,,,,,,
7,Ilkay Gündogan,12,1,23,0.62,145,35,34%,57%
,,,,,,,,,
9,Alexandre Lacazette,11,2,25,0.61,148,36,31%,75%
,,,,,,,,,
10,Callum Wilson,10,5,21,0.5,182,34,29%,47%
,,,,,,,,,
10,Ollie Watkins,10,3,28,0.36,252,58,17%,57%
,,,,,,,,,
12,Marcus Rashford,9,7,29,0.34,265,48,19%,65%
,,,,,,,,,
12,Raheem Sterling,9,5,25,0.39,229,36,25%,67%
,,,,,,,,,
12,Riyad Mahrez,9,4,23,0.5,181,35,26%,51%
,,,,,,,,,
12,Harvey Barnes,9,4,25,0.42,217,40,23%,65%
,,,,,,,,,
12,Wilfried Zaha,9,2,21,0.45,200,31,29%,48%
,,,,,,,,,
12,Pierre-Emerick Aubameyang,9,1,24,0.42,215,37,24%,57%
,,,,,,,,,
12,Tomas Soucek,9,0,29,0.31,290,38,24%,50%
,,,,,,,,,
19,James Maddison,8,5,23,0.44,204,36,22%,47%
,,,,,,,,,
19,Danny Ings,8,3,22,0.43,212,31,26%,65%
,,,,,,,,,
19,Neal Maupay,8,2,27,0.35,257,42,19%,57%
,,,,,,,,,
22,Michail Antonio,7,5,20,0.42,217,36,19%,58%
,,,,,,,,,
22,James Ward-Prowse,7,5,29,0.24,373,28,25%,68%
,,,,,,,,,
22,Sadio Mané,7,4,26,0.29,310,56,13%,50%
,,,,,,,,,
22,Che Adams,7,4,28,0.29,310,35,20%,66%
,,,,,,,,,
