Rank,Name,GoalsGL,AssistsA,PlayedP,Goals per 90,Mins per GoalMPG,Total Shots,Goal Conversion,Shot Accuracy
1,Cristiano Ronaldo,23,3,24,1.03,88,89,26%,62%
,,,,,,,,,
2,Romelu Lukaku,19,8,26,0.84,108,58,33%,67%
,,,,,,,,,
3,Luis Muriel,16,7,26,1.47,61,51,31%,57%
,,,,,,,,,
4,Zlatan Ibrahimovic,15,1,15,1.13,79,54,28%,61%
,,,,,,,,,
5,Lautaro Martínez,14,5,27,0.68,132,64,22%,52%
,,,,,,,,,
5,Ciro Immobile,14,4,25,0.63,142,66,21%,55%
,,,,,,,,,
7,Lorenzo Insigne,13,4,24,0.62,145,69,19%,46%
,,,,,,,,,
7,João PedroGeraldino dos Santos Galvão,13,2,28,0.47,190,45,29%,62%
,,,,,,,,,
7,Simy,13,1,28,0.57,157,41,32%,54%
,,,,,,,,,
10,Dusan Vlahovic,12,2,27,0.53,170,51,24%,55%
,,,,,,,,,
11,Francesco Caputo,11,5,22,0.61,148,33,33%,55%
,,,,,,,,,
11,Andrea Belotti,11,5,25,0.46,194,55,20%,55%
,,,,,,,,,
11,Domenico Berardi,11,4,22,0.54,166,47,23%,60%
,,,,,,,,,
14,Duván Zapata,10,7,27,0.54,165,46,22%,57%
,,,,,,,,,
14,Jordan Veretout,10,2,24,0.49,185,29,34%,66%
,,,,,,,,,
16,Henrikh Mkhitaryan,9,8,25,0.38,235,47,19%,53%
,,,,,,,,,
16,Robin Gosens,9,5,23,0.44,206,32,28%,50%
,,,,,,,,,
16,Roberto Soriano,9,5,28,0.33,277,30,30%,50%
,,,,,,,,,
16,Franck Kessié,9,3,27,0.35,259,23,39%,61%
,,,,,,,,,
16,Hirving Lozano,9,2,22,0.51,176,41,22%,56%
,,,,,,,,,
16,Mattia Destro,9,1,22,0.68,133,22,41%,73%
,,,,,,,,,
16,M'Bala Nzola,9,1,18,0.61,149,26,35%,46%
,,,,,,,,,
16,Fabio Quagliarella,9,1,26,0.46,197,43,21%,42%
,,,,,,,,,
24,Matteo Politano,8,4,26,0.55,164,26,31%,58%
,,,,,,,,,
24,Luis AlbertoRomero ,8,0,24,0.38,235,40,20%,57%
,,,,,,,,,
